web-scraper-order,web-scraper-start-url,shelfmark,shelfmark-href,all_link,all_link-href,h3_date,h3_startdate,h3_enddate,sub-all_link,sub-all_link-href
"1642687069-1899","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","Om Edens Betydning","https://handrit.is/en/manuscript/view/AM04-0046#section_2"
"1642686941-425","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Ad completorium","https://handrit.is/en/manuscript/list/uniform?v=Ad+completorium"
"1642687061-1705","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","On Severe Offences","https://handrit.is/en/manuscript/view/AM04-0046#section_6"
"1642686941-657","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Athugasemdir við Egils sögu Skallagrímssonar","https://handrit.is/en/manuscript/list/uniform?v=Athugasemdir+vi%C3%B0+Egils+s%C3%B6gu+Skallagr%C3%ADmssonar"
"1642686969-994","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","9","https://handrit.is/en/manuscript/list.browser.pager/9?t:ac=keyword/sagnfr"
"1642687013-1218","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","More Details","https://handrit.is/en/biography/view/ArnMag001","1700-1730","1700","1730","5","https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/5?t:ac=ArnMag001"
"1642687066-1786","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Om Edens Betydning","https://handrit.is/en/manuscript/view/AM04-0046#section_2","1485-1499","1485","1499","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v#content"
"1642686932-368","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask115","1818","1818","null","","https://handrit.is/is/manuscript/view.outerlayout.language/en?t:ac=en/Rask115"
"1642687004-1141","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","»","https://handrit.is/en/manuscript/view/en/AM08-266","1700-1730","1700","1730","Home","https://handrit.is/en/"
"1642687069-1882","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","(27r-147v)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/27r-147v#content"
"1642686941-672","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Ave dextra manus Christi","https://handrit.is/en/manuscript/list/uniform?v=Ave+dextra+manus+Christi"
"1642687079-1940","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Sweriges Gamla Lagar 11","https://handrit.is/en/bibliography/view/CorpJur11","1485-1499","1485","1499","Browse","https://handrit.is/en/manuscript/browse/uniform"
"1642687087-2056","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","","https://handrit.is/en/manuscript/list.outerlayout.language/da?t:ac=keyword/log"
"1642686969-972","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","AM 37 4to","https://handrit.is/en/manuscript/view/AM04-0037"
"1642686932-369","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask115","1818","1818","null","","https://handrit.is/is/manuscript/view.outerlayout.language/da?t:ac=en/Rask115"
"1642687082-1961","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Canon law","https://handrit.is/en/manuscript/list/keyword/klog","1485-1499","1485","1499","Search","https://handrit.is/en/search/regular"
"1642686941-556","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Amphitheatro Naturæ","https://handrit.is/en/manuscript/list/uniform?v=Amphitheatro+Natur%C3%A6"
"1642687013-1174","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","More Details","https://handrit.is/en/biography/view/ArnMag001","1700-1730","1700","1730","","https://handrit.is/en/biography/view.outerlayout.language/da?t:ac=ArnMag001"
"1642686989-1105","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","No Title","https://handrit.is/en/manuscript/view/AM02-0200#section_1","1590-1610","1590","1610","»","https://handrit.is/en/manuscript/view/en/AM02-0201"
"1642686941-652","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Arvebǫlkr (2)","https://handrit.is/en/manuscript/list/uniform?v=Arveb%C7%ABlkr"
"1642686947-803","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","View All","https://handrit.is/en/manuscript/list/collection/Lbs"
"1642687069-1880","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","Sweriges gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur3"
"1642686947-699","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","","https://handrit.is/en/index.outerlayout.language/da"
"1642686947-793","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","View All","https://handrit.is/en/manuscript/list/collection/JSDipl"
"1642687082-2002","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Canon law","https://handrit.is/en/manuscript/list/keyword/klog","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/da/AM04-0027"
"1642687091-2153","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","11","https://handrit.is/en/manuscript/list.browser.pager/11?t:ac=keyword/kvad"
"1642687069-1886","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","(148v-163v)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/148v-163v#content"
"1642686971-1005","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","View Images","https://handrit.is/en/manuscript/imaging/en/AM02-0201","1600-1650","1600","1650","Close","javascript:;"
"1642686941-628","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Arnbjörg æruprýdd dáindis kvinna á Vestfjörðum Íslands","https://handrit.is/en/manuscript/list/uniform?v=Arnbj%C3%B6rg+%C3%A6rupr%C3%BDdd+d%C3%A1indis+kvinna+%C3%A1+Vestfj%C3%B6r%C3%B0um+%C3%8Dslands"
"1642687059-1639","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","On Severe Offences","https://handrit.is/en/manuscript/view/AM04-0046#section_6"
"1642687087-2085","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","AM 299 fol.","https://handrit.is/en/manuscript/view/AM02-0299"
"1642687093-2229","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","More Details","https://handrit.is/en/biography/view/FreRos001","1485-1499","1485","1499","2","https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/2?t:ac=FreRos001"
"1642686947-745","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","GKS 2365 4to","https://handrit.is/en/manuscript/view/is/GKS04-2365"
"1642686966-879","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","Katalog over Den Arnamagnæanske Håndskriftsamling","https://handrit.is/en/bibliography/view/KKKat","1600-1650","1600","1650","","https://handrit.is/en/bibliography/view.outerlayout.language/is?t:ac=KKKat"
"1642687059-1609","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","More Details","https://handrit.is/en/biography/view/FreRos001"
"1642687052-1417","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Nine Articles passed by King Gustav and the Cou...","https://handrit.is/en/manuscript/view/AM04-0046#section_8","1485-1499","1485","1499","(6v-27r)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/6v-27r#content"
"1642686912-263","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Statistics","https://handrit.is/en/statistics","1818","1818","null","Statistics","https://handrit.is/en/statistics"
"1642687061-1689","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","Sweriges Gamla Lagar 11","https://handrit.is/en/bibliography/view/CorpJur11"
"1642686947-693","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","","https://handrit.is/en/admin"
"1642687064-1769","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","The Manorial Court Law","https://handrit.is/en/manuscript/view/AM04-0046#section_3","1485-1499","1485","1499","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4"
"1642687052-1394","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Nine Articles passed by King Gustav and the Cou...","https://handrit.is/en/manuscript/view/AM04-0046#section_8","1485-1499","1485","1499","Standard","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/3/WEB_DISPLAY"
"1642686975-1021","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201","1600-1650","1600","1650","Hent som XML","https://handrit.is/da/manuscript/xml/AM02-0201-en.xml"
"1642687059-1589","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","Standard","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/2/WEB_DISPLAY"
"1642687059-1579","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","handrit.is","https://handrit.is/en/"
"1642686975-1010","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201","1600-1650","1600","1650","","https://handrit.is/da/admin"
"1642686986-1065","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","«","https://handrit.is/en/manuscript/view/en/AM02-020-h","1590-1610","1590","1610","About","https://handrit.is/en/about"
"1642687066-1832","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Om Edens Betydning","https://handrit.is/en/manuscript/view/AM04-0046#section_2","1485-1499","1485","1499","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1"
"1642687091-2203","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","","https://handrit.is/en/manuscript/imaging/en/AM02-0242"
"1642687059-1591","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/2r-6v#content"
"1642686941-668","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Auga þitt settu sál mín á","https://handrit.is/en/manuscript/list/uniform?v=Auga+%C3%BEitt+settu+s%C3%A1l+m%C3%ADn+%C3%A1"
"1642687079-1942","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Sweriges Gamla Lagar 11","https://handrit.is/en/bibliography/view/CorpJur11","1485-1499","1485","1499","About","https://handrit.is/en/about"
"1642687091-2171","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/is/AM02-0126"
"1642687093-2247","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","More Details","https://handrit.is/en/biography/view/FreRos001","1485-1499","1485","1499","","https://handrit.is/en/manuscript/imaging/en/AM04-0009"
"1642687069-1877","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","(2r-6v)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/2r-6v#content"
"1642686941-456","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Af Brandi Grímssyni og Kolbeini","https://handrit.is/en/manuscript/list/uniform?v=Af+Brandi+Gr%C3%ADmssyni+og+Kolbeini"
"1642687026-1279","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","»","https://handrit.is/en/manuscript/view/en/AM04-0354","1700-1715","1700","1715","Mythical-heroic sagas","https://handrit.is/en/manuscript/list/keyword/fas"
"1642686978-1037","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0201","1600-1650","1600","1650","Gera athugasemdir við Handrit","https://handrit.is/is/popup/feedback/en/AM02-0201"
"1642687035-1309","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM04-0353","1700-1715","1700","1715","Hent som XML","https://handrit.is/da/manuscript/xml/AM04-0353-en.xml"
"1642686996-1111","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0200","1590-1610","1590","1610","Søg","https://handrit.is/da/search/regular"
"1642687061-1647","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","Home","https://handrit.is/en/"
"1642687048-1351","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Henrik Harpestreng","https://handrit.is/en/biography/view/HenHar001"
"1642687061-1660","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/6v-27r#content"
"1642686941-653","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Arvetallet","https://handrit.is/en/manuscript/list/uniform?v=Arvetallet"
"1642687048-1365","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Liturgics","https://handrit.is/en/manuscript/list/keyword/helgs"
"1642687035-1310","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM04-0353","1700-1715","1700","1715","«","https://handrit.is/da/manuscript/view/en/AM04-0352"
"1642687059-1614","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","Laws","https://handrit.is/en/manuscript/list/keyword/log"
"1642687026-1268","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","»","https://handrit.is/en/manuscript/view/en/AM04-0354","1700-1715","1700","1715","View Images","https://handrit.is/en/manuscript/imaging/en/AM04-0354"
"1642686941-515","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Alexis saga","https://handrit.is/en/manuscript/list/uniform?v=Alexis+saga"
"1642686955-852","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","«","https://handrit.is/en/manuscript/view/en/AM02-0200","1600-1650","1600","1650","No Title","https://handrit.is/en/manuscript/view/en/AM02-0200#section_1"
"1642686975-1020","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201","1600-1650","1600","1650","Send Feedback on Manuscript","https://handrit.is/da/popup/feedback/en/AM02-0201"
"1642686941-404","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","","https://handrit.is/en/manuscript/browse.outerlayout.language/da?t:ac=uniform"
"1642686966-876","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","Katalog over Den Arnamagnæanske Håndskriftsamling","https://handrit.is/en/bibliography/view/KKKat","1600-1650","1600","1650","Browse","https://handrit.is/en/manuscript/browse/uniform"
"1642687091-2147","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","5","https://handrit.is/en/manuscript/list.browser.pager/5?t:ac=keyword/kvad"
"1642686941-600","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Annars erindi rekur","https://handrit.is/en/manuscript/list/uniform?v=Annars+erindi+rekur"
"1642686941-620","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Argenis Meleandersdóttir","https://handrit.is/en/manuscript/list/uniform?v=Argenis+Meleandersd%C3%B3ttir"
"1642687069-1856","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1","1485-1499","1485","1499","Standard","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/3/WEB_DISPLAY"
"1642687066-1811","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Om Edens Betydning","https://handrit.is/en/manuscript/view/AM04-0046#section_2","1485-1499","1485","1499","(2r-6v)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/2r-6v#content"
"1642687006-1158","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","«","https://handrit.is/en/manuscript/view/en/AM08-263","1700-1730","1700","1730","About","https://handrit.is/en/about"
"1642687048-1362","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Almanacs","https://handrit.is/en/manuscript/list/keyword/alm"
"1642687016-1242","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM08-265","1700-1730","1700","1730","»","https://handrit.is/da/manuscript/view/en/AM08-266"
"1642687064-1759","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","The Manorial Court Law","https://handrit.is/en/manuscript/view/AM04-0046#section_3","1485-1499","1485","1499","Uplandslagen. Codex juris Uplandici, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur3"
"1642687048-1369","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Magnus Eriksson's Town Law","https://handrit.is/en/manuscript/view/en/AM04-0045#section_1"
"1642686947-806","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","View All","https://handrit.is/en/manuscript/list/collection/LbsFragm"
"1642686947-711","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","AM 673 b 4to","https://handrit.is/en/manuscript/view/AM04-0673-b"
"1642687054-1473","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_7","1485-1499","1485","1499","High Quality","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/296/HIGH_QUALITY_DISPLAY"
"1642687038-1317","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM04-0353","1700-1715","1700","1715","Leita","https://handrit.is/is/search/regular"
"1642687087-2086","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/da/AM02-0299"
"1642687093-2263","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","More Details","https://handrit.is/en/biography/view/FreRos001","1485-1499","1485","1499","5","https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/5?t:ac=FreRos001"
"1642687013-1217","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","More Details","https://handrit.is/en/biography/view/ArnMag001","1700-1730","1700","1730","4","https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/4?t:ac=ArnMag001"
"1642686941-450","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Að vekja upp draug","https://handrit.is/en/manuscript/list/uniform?v=A%C3%B0+vekja+upp+draug"
"1642687101-2266","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r#content","1485-1499","1485","1499","","https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r#"
"1642687091-2152","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","10","https://handrit.is/en/manuscript/list.browser.pager/10?t:ac=keyword/kvad"
"1642686947-738","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","AM 132 fol.","https://handrit.is/en/manuscript/view/is/AM02-0132"
"1642687091-2179","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/is/AM02-0151"
"1642686947-773","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","View All","https://handrit.is/en/manuscript/list/collection/Acc"
"1642687101-2268","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Click for larger","https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r#content","1485-1499","1485","1499","","https://handrit.is/"
"1642687059-1628","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","King Magnus Eriksson's National Law (for Sweden)","https://handrit.is/en/manuscript/view/AM04-0046#section_5","1485-1499","1485","1499","Konung Magnus Erikssons Stadslag. Codex iuris urbici Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur11"
