web-scraper-order,web-scraper-start-url,shelfmark,shelfmark-href,all_link,all_link-href,h3_date,h3_startdate,h3_enddate,sub-all_link,sub-all_link-href
"1642687084-2036","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Sweriges gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur3","1485-1499","1485","1499","","https://handrit.is/en/bibliography/view.outputassociatedmanuscripts.associated_manuscripts.columns:sort/shelfmark?t:ac=CorpJur3"
"1642687076-1927","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar","https://handrit.is/en/bibliography/view/CorpJur10","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/da/AM04-0049"
"1642687026-1266","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","»","https://handrit.is/en/manuscript/view/en/AM04-0354","1700-1715","1700","1715","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM04-0354"
"1642687013-1213","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","More Details","https://handrit.is/en/biography/view/ArnMag001","1700-1730","1700","1730","","https://handrit.is/en/manuscript/view/da/AM02-0001-e-alpha"
"1642686932-364","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask115","1818","1818","null","Heim","https://handrit.is/is/"
"1642686969-996","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","11","https://handrit.is/en/manuscript/list.browser.pager/11?t:ac=keyword/sagnfr"
"1642686947-776","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","GKS 1005 fol.","https://handrit.is/en/manuscript/view/is/GKS02-1005"
"1642687048-1364","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Masses","https://handrit.is/en/manuscript/list/keyword/tid"
"1642686966-877","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","Katalog over Den Arnamagnæanske Håndskriftsamling","https://handrit.is/en/bibliography/view/KKKat","1600-1650","1600","1650","Search","https://handrit.is/en/search/regular"
"1642687013-1222","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","More Details","https://handrit.is/en/biography/view/ArnMag001","1700-1730","1700","1730","9","https://handrit.is/en/biography/view.outputassociatedmanuscripts.associated_manuscripts.pager/9?t:ac=ArnMag001"
"1642686947-814","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","Statistics","https://handrit.is/en/statistics"
"1642686969-995","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","10","https://handrit.is/en/manuscript/list.browser.pager/10?t:ac=keyword/sagnfr"
"1642686969-970","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/list/keyword/sagnfr","1600-1650","1600","1650","","https://handrit.is/en/manuscript/view/da/AM04-0009"
"1642687020-1247","https://handrit.is/en/search/results/2YLppK","AM 265 8vo","https://handrit.is/en/manuscript/view/AM08-265","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM08-265","1700-1730","1700","1730","Vafra","https://handrit.is/is/manuscript/browse/uniform"
"1642687048-1355","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","","https://handrit.is/en/manuscript/list/keyword/sagnfr"
