source_label,source,target_label,target
"More Details",https://handrit.is/en/biography/view/FreRos001,,https://handrit.is/en/biography/xml/FreRos001
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/147v-148v#content
Browse,https://handrit.is/en/manuscript/browse/uniform,"Annalistic Notes Concerning Denmark",https://handrit.is/en/manuscript/list/uniform?v=Annalistic+Notes+Concerning+Denmark
»,https://handrit.is/en/manuscript/view/en/AM04-0047,,https://handrit.is/en/admin
»,https://handrit.is/en/manuscript/view/en/AM02-0202-g,,https://handrit.is/en/manuscript/list/keyword/forn
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,"High Quality",https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/3/HIGH_QUALITY_DISPLAY
Browse,https://handrit.is/en/manuscript/browse/uniform,"Amicus och Amelius",https://handrit.is/en/manuscript/list/uniform?v=Amicus+och+Amelius
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/view/da/AM02-007
,https://handrit.is/en/admin,,https://handrit.is/en/admin
handrit.is,https://handrit.is/en/,"AM 132 fol.",https://handrit.is/en/manuscript/view/is/AM02-0132
"No Title",https://handrit.is/en/manuscript/view/AM04-0046#section_1,Search,https://handrit.is/en/search/regular
,https://handrit.is/en/manuscript/list/keyword/sagnfr,"AM 85 4to",https://handrit.is/en/manuscript/view/AM04-0085
Browse,https://handrit.is/en/manuscript/browse/uniform,"Agnesar saga meyiar",https://handrit.is/en/manuscript/list/uniform?v=Agnesar+saga+meyiar
handrit.is,https://handrit.is/en/,"AM 738 4to",https://handrit.is/en/manuscript/view/is/AM04-0738
Laws,https://handrit.is/en/manuscript/list/keyword/log,,https://handrit.is/en/manuscript/view/da/AM02-0315-f
handrit.is,https://handrit.is/en/,"Lbs 72 4to",https://handrit.is/en/manuscript/view/is/Lbs04-0072
